,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,brimkov-outp,../inputs/case145.graphml,145,422,71,13,844,2645,4,18.0,18,0.0,Optimal,1,216464,0,0,0
1,brimkov-outp,../inputs/case24_ieee_rts.graphml,24,34,4,2,110,87,3,7.0,7,0.0,Optimal,1,2961,0,0,0
2,brimkov-outp,../inputs/case_GB2224.graphml,2224,2804,1367,4,10129,20169,0,359.0,359,0.0,Optimal,1664,35411901,0,0,0
3,brimkov-outp,../inputs/case9.graphml,9,9,4,1,43,47,4,3.0,3,0.0,Optimal,1,2074,0,0,0
4,brimkov-outp,../inputs/case1354pegase.graphml,1354,1710,422,7,4207,6643,2,313.0,313,0.0,Optimal,1,179165,0,0,0
5,brimkov-outp,../inputs/case300.graphml,300,409,66,9,817,1123,1,72.0,72,0.0,Optimal,1,20693,0,0,0
6,brimkov-outp,../inputs/case3012wp.graphml,3012,3566,726,3,9995,11533,1,780.0,780,0.0,Optimal,1784,14920585,0,0,0
7,brimkov-outp,../inputs/case1888rte.graphml,1888,2308,681,8,6300,12106,4,375.0,375,0.0,Optimal,1,522507,0,0,0
8,brimkov-outp,../inputs/case1354pegase.graphml,1354,1710,422,8,4103,6630,4,311.0,311,0.0,Optimal,1,115881,0,0,0
9,brimkov-outp,../inputs/case2736sp.graphml,2736,3265,645,1,13421,12614,1,1204.0,1204,0.0,Optimal,2112,4172814,0,0,0
10,brimkov-outp,../inputs/case11_iwamoto.graphml,11,11,6,2,47,63,4,2.0,2,0.0,Optimal,1,1094,0,0,0
11,brimkov-outp,../inputs/case9.graphml,9,9,4,0,46,50,0,5.0,5,0.0,Optimal,1,3403,0,0,0
12,brimkov-outp,../inputs/case_iceland118.graphml,189,203,110,8,652,1297,2,39.0,39,0.0,Optimal,1,18037,0,0,0
13,brimkov-outp,../inputs/case_iceland118.graphml,189,203,110,1,970,1398,4,83.0,83,0.0,Optimal,1,39581,0,0,0
14,brimkov-outp,../inputs/case96rts.graphml,73,108,9,1,389,254,2,33.0,33,0.0,Optimal,1,10520,0,0,0
15,brimkov-outp,../inputs/case24_ieee_rts.graphml,24,34,4,3,83,78,3,6.0,6,0.0,Optimal,1,2274,0,0,0
16,brimkov-outp,../inputs/case_GB2224.graphml,2224,2804,1367,7,9076,19989,0,326.0,326,0.0,Optimal,4891,45793028,0,0,0
17,brimkov-outp,../inputs/case5.graphml,5,6,0,3,10,5,4,2.0,2,0.0,Optimal,0,231,0,0,0
18,brimkov-outp,../inputs/case2746wop.graphml,2746,3300,709,7,7642,10697,3,677.0,677,0.0,Optimal,1,637211,0,0,0
19,brimkov-outp,../inputs/case1951rte.graphml,1951,2375,651,2,8898,13030,1,616.0,616,0.0,Optimal,49,3804189,0,0,0
20,brimkov-outp,../inputs/case_iceland118.graphml,189,203,110,0,1058,1486,1,96.0,96,0.0,Optimal,1,30712,0,0,0
21,brimkov-outp,../inputs/case300.graphml,300,409,66,2,1403,1277,4,94.0,94,0.0,Optimal,271,293377,0,0,0
22,brimkov-outp,../inputs/case_south_carolina500.graphml,500,584,211,8,1893,4685,0,76.0,76,0.0,Optimal,1,100398,0,0,0
23,brimkov-outp,../inputs/case2383wp.graphml,2383,2886,552,6,6789,9661,2,594.0,594,0.0,Optimal,1,755138,0,0,0
24,brimkov-outp,../inputs/case_GBreduced29.graphml,29,50,0,5,64,30,1,7.0,7,0.0,Optimal,1,1333,0,0,0
25,brimkov-outp,../inputs/case9.graphml,9,9,4,0,46,50,4,5.0,5,0.0,Optimal,1,1469,0,0,0
26,brimkov-outp,../inputs/case_iceland118.graphml,189,203,110,2,886,1356,1,52.0,52,0.0,Optimal,1,62533,0,0,0
27,brimkov-outp,../inputs/case2869pegase.graphml,2869,3968,869,10,8530,14185,4,612.0,612,0.0,Optimal,1,444591,0,0,0
28,brimkov-outp,../inputs/case2746wp.graphml,2746,3274,704,4,8585,10717,4,690.0,690,0.0,Optimal,1,1635955,0,0,0
29,brimkov-outp,../inputs/case_GB2224.graphml,2224,2804,1367,5,9754,20094,3,338.0,338,0.0,Optimal,1618,21718178,0,0,0
30,brimkov-outp,../inputs/case57.graphml,57,78,15,4,181,191,0,12.0,12,0.0,Optimal,1,10324,0,0,0
31,brimkov-outp,../inputs/case_illinois200.graphml,200,245,44,0,1074,1348,0,156.0,156,0.0,Optimal,1,16152,0,0,0
32,brimkov-outp,../inputs/case3375wp.graphml,3374,4068,889,5,10292,14534,0,821.0,821,0.0,Optimal,3013,12521131,0,0,0
33,brimkov-outp,../inputs/case14.graphml,14,20,2,4,38,30,0,3.0,3,0.0,Optimal,0,1735,0,0,0
