,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3847,efpss-inp,../inputs/case9241pegase.graphml,9241,14207,2902,39,16932,14070,1,2010.0,2010,0.0,Optimal,1694,5784992,43,82292,1800
3848,efpss-outp,../inputs/case118.graphml,118,179,11,5,225,139,0,29.0,29,0.0,Optimal,1,9430,7,148,1
3849,efpss-inp,../inputs/case6468rte.graphml,6468,8065,2384,5,17508,11325,4,1344.0,1344,0.0,Optimal,2363,13153294,60,138750,3391
3850,efpss-outp,../inputs/case_Texas.graphml,2000,2667,376,10,3863,2390,2,413.0,413,0.0,Optimal,5003,4615760,21,7302,15
3851,efpss-inp,../inputs/case2737sop.graphml,2737,3266,655,7,4770,4118,2,683.0,683,0.0,Optimal,4186,2627041,28,21391,806
3852,efpss-inp-outp,../inputs/case89pegase.graphml,89,206,43,6,444,225,2,13.0,13,0.0,Optimal,1,11077,7,203,4
3853,efpss-outp,../inputs/case13659pegase.graphml,13659,18625,4024,18,28123,17758,4,2736.0,2736,0.0,Optimal,1,1879728,19,46835,117
3854,efpss-inp,../inputs/case57.graphml,57,78,15,5,109,91,2,12.0,12,0.0,Optimal,1,6143,6,169,15
3855,efpss-inp-outp,../inputs/case_Western.graphml,10024,12241,4106,0,48202,32956,4,5974.0,5974,0.0,Optimal,1,1888257,11,48816,444
3856,efpss-outp,../inputs/case_illinois200.graphml,200,245,44,5,464,255,0,45.0,45,0.0,Optimal,1,22126,9,404,2
3857,efpss-outp,../inputs/case6468rte.graphml,6468,8065,2384,7,15650,9040,0,1300.0,1300,0.0,Optimal,2245,5108475,21,30890,128
3858,efpss-inp-outp,../inputs/case6515rte.graphml,6515,8104,2344,12,14077,13288,3,1315.0,1315,0.0,Optimal,85,1035973,14,18028,57
3859,efpss-outp-init,../inputs/case_GB2224.graphml,2224,2804,1367,4,7905,11100,3,359.0,359,0.0,Optimal,1622,8317728,27,18051,87
3860,efpss-outp,../inputs/case3012wp.graphml,3012,3566,726,3,6983,4125,3,780.0,780,0.0,Optimal,1759,6874413,30,21039,93
3861,efpss-outp,../inputs/case30.graphml,30,41,7,2,100,49,4,8.0,8,0.0,Optimal,1,2925,6,72,2
3862,efpss-outp,../inputs/case9241pegase.graphml,9241,14207,2902,10,19987,12319,3,2010.0,2010,0.0,Optimal,3801,12165774,18,30550,158
3863,efpss-outp,../inputs/case2736sp.graphml,2736,3265,645,3,6506,3766,0,702.0,702,0.0,Optimal,1830,5189375,25,13627,89
3864,efpss-outp-init,../inputs/case6515rte.graphml,6515,8104,2344,9,14680,23237,0,1316.0,1316,0.0,Optimal,1,1681580,14,18730,11
3865,efpss-inp,../inputs/case13659pegase.graphml,13659,18625,4024,15,28522,21577,3,2751.0,2751,0.0,Optimal,1629,14013195,106,248988,4003
3866,efpss-outp,../inputs/case_south_carolina500.graphml,500,584,211,3,1804,796,0,98.0,98,0.0,Optimal,6757,1186444,15,2398,4
3867,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,4,28243,18463,2,2093.0,2094,0.0004775549188156638,Timeout,141840,900389575,42,101058,325
3868,efpss-inp-outp,../inputs/case11_iwamoto.graphml,11,11,6,3,30,29,0,2.0,2,0.0,Optimal,1,2101,2,16,0
3869,efpss-inp-outp,../inputs/case145.graphml,145,422,71,9,805,354,2,18.0,18,0.0,Optimal,58,70774,17,1172,35
